Filename,Format,Dimensions,File size,Page,Purpose,Alt text,Decorative or informative,Source or generation method,Compression status
assets/images/application-denial.svg,SVG,1200x800,1670,/application-denied/,"Editorial illustration, icon, or social preview",Application Denial editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/default-social.png,PNG,1200x630,8633,Social sharing,"Editorial illustration, icon, or social preview",Default Social editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/default-social.svg,SVG,1200x800,1670,Fallback editorial visual,"Editorial illustration, icon, or social preview",Default Social editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/device-offers.svg,SVG,1200x800,1662,/device-offers-explained/,"Editorial illustration, icon, or social preview",Device Offers editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/documents-checklist.svg,SVG,1200x800,1671,/documents-needed/,"Editorial illustration, icon, or social preview",Documents Checklist editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/editorial-standards.svg,SVG,1200x800,1666,Editorial and legal pages,"Editorial illustration, icon, or social preview",Editorial Standards editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/eligibility-pathways.svg,SVG,1200x800,1688,Multiple eligibility guides,"Editorial illustration, icon, or social preview",Eligibility Pathways editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/homepage-hero.svg,SVG,1200x800,1707,/,"Editorial illustration, icon, or social preview",Homepage Hero editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/household-rule.svg,SVG,1200x800,1660,/one-per-household-rule/,"Editorial illustration, icon, or social preview",Household Rule editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/income-eligibility.svg,SVG,1200x800,1685,/income-eligibility/,"Editorial illustration, icon, or social preview",Income Eligibility editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/medicaid-guide.svg,SVG,1200x800,1666,/free-tablet-with-medicaid/,"Editorial illustration, icon, or social preview",Medicaid Guide editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/national-verifier.svg,SVG,1200x800,1655,/national-verifier-guide/,"Editorial illustration, icon, or social preview",National Verifier editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/provider-comparison.svg,SVG,1200x800,1676,Provider pages,"Editorial illustration, icon, or social preview",Provider Comparison editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/recertification.svg,SVG,1200x800,1677,/lifeline-recertification/,"Editorial illustration, icon, or social preview",Recertification editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/resources-hub.svg,SVG,1200x800,1662,/resources/,"Editorial illustration, icon, or social preview",Resources Hub editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/scam-warning.svg,SVG,1200x800,1671,/lifeline-scams/,"Editorial illustration, icon, or social preview",Scam Warning editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/snap-ebt-guide.svg,SVG,1200x800,1666,/free-tablet-with-ebt/,"Editorial illustration, icon, or social preview",Snap Ebt Guide editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/status-tracking.svg,SVG,1200x800,1669,/application-status/,"Editorial illustration, icon, or social preview",Status Tracking editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
assets/images/tablet-phone.svg,SVG,1200x800,1644,/tablet-vs-phone-benefits/,"Editorial illustration, icon, or social preview",Tablet Phone editorial illustration,Informative,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
apple-touch-icon.png,PNG,180x180,625,Apple touch icon,"Editorial illustration, icon, or social preview",Decorative or interface icon,Decorative/interface,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
favicon-32.png,PNG,32x32,185,Browser icon,"Editorial illustration, icon, or social preview",Decorative or interface icon,Decorative/interface,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
icon-192.png,PNG,192x192,650,Web app icon,"Editorial illustration, icon, or social preview",Decorative or interface icon,Decorative/interface,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
icon-512.png,PNG,512x512,1897,Web app icon,"Editorial illustration, icon, or social preview",Decorative or interface icon,Decorative/interface,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
favicon.svg,SVG,64x64,400,Site icon,"Editorial illustration, icon, or social preview",Decorative or interface icon,Decorative/interface,Original programmatically drawn SVG or local Pillow graphic,Optimized local vector or optimized PNG
