Claim,Topic,Source organization,Source URL,Date accessed,Page using the claim,Whether the fact is time-sensitive,Next recommended review date
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/apply-now/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-medicaid/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/free-tablet-with-ebt/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-program/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/lifeline-eligibility/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/income-eligibility/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/qualifying-programs/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/documents-needed/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/national-verifier-guide/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/companies-near-me/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/compare-lifeline-providers/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-denied/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/application-status/,Yes,2026-10-12
"Lifeline provides up to $9.25 monthly support, or up to $34.25 on qualifying Tribal lands",Program amount,USAC,https://www.fcc.gov/lifeline-consumers,2026-07-12,/one-per-household-rule/,Yes,2026-10-12
